# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
# 
1	German	the world	322	1.1	Welt	vɛlt	968
2	French	the world	322	1.1	monde	mɔ̃d	969
3	Dutch	the world	322	1.1	wereld	weːrəlt	968
4	English	the world	322	1.1	world	wɜːld	968
# 
5	German	the land	558	1.21	Erde	eːrdə	1673
6	German	the land	558	1.21	Land	lant	1674
7	French	the land	558	1.21	terre	tɛʁ	1675
8	Dutch	the land	558	1.21	land	lɑnt	1674
9	English	the land	558	1.21	land	lænd	1674
# 
10	German	the soil	493	1.212	Erde	eːrdə	1475
11	German	the soil	493	1.212	Boden	boːdən	1478
12	French	the soil	493	1.212	terre	tɛʁ	1477
13	French	the soil	493	1.212	sol	sɔl	1476
14	Dutch	the soil	493	1.212	bodem	boːdəm	1478
15	English	the soil	493	1.212	soil	sɔɪl	-1476
# 
16	German	the mud	492	1.214	Schlamm	ʃlam	1471
17	German	the mud	492	1.214	Dreck	drɛk	1474
18	French	the mud	492	1.214	boue	bu	1473
19	Dutch	the mud	492	1.214	modder	mɔdər	1472
20	English	the mud	492	1.214	mud	mʌd	1472
# 
21	German	the sand	491	1.215	Sand	zant	1469
22	French	the sand	491	1.215	sable	sɑbl	1469
23	Dutch	the sand	491	1.215	zand	zɑnt	1469
24	English	the sand	491	1.215	sand	sænd	1469
# 
25	German	the mountain or hill	557	1.22	Berg	bɛrk	1669
26	German	the mountain or hill	557	1.22	Hügel	hyːɡəl	1671
27	French	the mountain or hill	557	1.22	montagne	mɔ̃taɲ	1670
28	French	the mountain or hill	557	1.22	colline	kɔlin	1672
29	Dutch	the mountain or hill	557	1.22	berg	bɛrx	1669
30	Dutch	the mountain or hill	557	1.22	heuvel	høːvəl	1671
31	English	the mountain or hill	557	1.22	mountain	maʊntɪn	-1670
32	English	the mountain or hill	557	1.22	hill	hɪl	1671
# 
33	German	the cliff or precipice	277	1.222	Klippe	klɪpə	829
34	French	the cliff or precipice	277	1.222	falaise	falɛz	830
35	French	the cliff or precipice	277	1.222	escarpement	ɛskaʀpəmɑ̃	832
36	Dutch	the cliff or precipice	277	1.222	klif	klɪf	829
37	English	the cliff or precipice	277	1.222	cliff	klɪf	829
38	English	the cliff or precipice	277	1.222	precipice	prɛsɪpɪs	831
# 
39	German	the plain	556	1.23	Ebene	eːbənə	1664
40	German	the plain	556	1.23	Fläche	flɛxə	1666
41	German	the plain	556	1.23	Feld	fɛlt	1668
42	French	the plain	556	1.23	plaine	plɛn	1665
43	French	the plain	556	1.23	campagne	kɑ̃paɲ	6000
44	Dutch	the plain	556	1.23	vlakte	vlɑktə	1666
45	English	the plain	556	1.23	plain	pleɪn	-1665
# 
46	German	the valley	561	1.24	Tal	taːl	1681
47	French	the valley	561	1.24	vallée	vale	1682
48	Dutch	the valley	561	1.24	vallei	vɑlɛɪ	-1682
49	Dutch	the valley	561	1.24	dal	dɑl	1681
50	English	the valley	561	1.24	valley	vælɪ	-1682
# 
51	German	the mainland	560	1.26	Festland	fɛst#lant	1678
52	French	the mainland	560	1.26	continent	kɔ̃tinɑ̃	1680
53	Dutch	the mainland	560	1.26	vasteland	vɑstə#lɑnt	1678
54	English	the mainland	560	1.26	mainland	meɪn#lənd	1679
# 
55	German	the shore	359	1.27	Ufer	uːfər	1091
56	German	the shore	359	1.27	Strand	ʃtrant	1094
57	French	the shore	359	1.27	rivage	ʀivaʒ	1093
58	French	the shore	359	1.27	côte	kot	1095
59	French	the shore	359	1.27	littoral	litɔʀal	1096
60	Dutch	the shore	359	1.27	oever	uːvər	1091
61	English	the shore	359	1.27	shore	ʃɔːr	1092
# 
62	German	the water	341	1.31	Wasser	vasər	1025
63	French	the water	341	1.31	eau	o	1026
64	Dutch	the water	341	1.31	water	waːtər	1025
