code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	English	français	NAME Toro Tegu (Toupere, JH)	NAME Bangime (Bounou, AH)	NAME Sangha So (Moran, Sangha)	NAME Ben Tey (Beni, JH)	NAME Bankan-Tey (Walo, JH)	NAME Nanga (Anda, JH)	Jamsay (alphabet)	NAME Jamsay (Douentza area, JH)	NAME Perge Tegu (Pergué, JH)	NAME Gourou (Kiri, JH)	NAME Jamsay (Mondoro, JH)	NAME Togo-Kan (Koporo-pen, JH with BT)	NAME Yorno-So (Yendouma, JH and DT)	NAME Tomo Kan (Segue)	NAME Tomo Kan (Diangassagou)	NAME Tommo-So (Tongo Tongo, LM)	NAME Dogul Dom (Bendiely, BC)	 NAME Tebul Ure (JH)	NAME Yanda Dom (Yanda, JH)	NAME Najamba (Kubewel-Adia, JH)	NAME Tiranige (Boui, JH)	NAME Mombo (Songho, KP)	NAME Ampari (Nando, KP)	NAME Bunoge (Boudou)	NAME Penange (Pinia)
grammar	independent pronoun	grammaire	pronom indépendant	179	1	1	1Sg	1Sg	09590	2012 Mar	basic	1SG pronoun	(1Sg independent pronoun)	(pronom indépendant 1Sg)	mí ~ m̀ᵇí	mí	mú	í	í	ǐ:ⁿ		mí	mí		mí	íⁿ	mú	mí	mí	mí	mí	mí	mí	mí	mí-wⁿ, mì	mí:	mi	mì	mí
grammar	independent pronoun	grammaire	pronom indépendant	179	1	2	2Sg	2Sg	09591	2012 Mar	basic	2SG pronoun	(2Sg independent pronoun)	(pronom indépendant 2Sg)	ú	à	ú	ú	ú	ú		ú	ú		í	ú	ú	á	á	ú	ó	ú	ó	ó	ó:, ò	ó:	ó	ò	ó
grammar	independent pronoun	grammaire	pronom indépendant	179	1	5	3Sg	3Sg	09594	2012 Mar	basic	3SG pronoun	(3Sg all-purpose independent pronoun)	(pronom 3Sg)		mì	wó		ɛ́rⁿɛ́						ú					wó	í		ná			ɛ́:	á	ǎwⁿ	ɔ̀nɔ̀
penetrate	bite/sting	pénétrer	mordre/piquer	143	5	1	bite	mordre	06966	old	basic	to bite	(sb, mammal) bite (sb)	(qn, mammifère) mordre (qch, qn)	cɛ́rú\\cɛ́rá		kɛ́rú	kúwó	kúwó	kúwó	cɛrɛ	cɛ́rɛ́	kɛ́rɛ́	kɛ́rɛ́	cɛ́rɛ́	kɛ́rɛ́	kɛ́rɛ́-\\kɛ́rɛ́			kɛ́rɛ́		cɛ́rɛ́ (cɛ́rɛ́-tì-)	kɛ́dɛ́\\kɛ́dá-lì	kɛ́rɛ́	cɛ́rɔ́	núŋgɛ́	dígò (dígɛ́, dígɛ́-rí)	núnjè	núŋgɛ́
body	arm	corps	bras	10	11	2	arm	bras	00400	old		arm, hand	arm	bras	lɔ́		nɔ́ɔ́ \\ nùmɔ́ 	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó				nǒyⁿ			nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá			númɛ̀	
fire	ashes	feu	cendre	35	10	1	ashes	cendre	02049	old	basic	ash	ashes	cendre	dòwⁿòsú	túɥɛ̀	únɔ́	dɔ̀yⁿɔ̌yⁿ	dɔ̀yⁿɔ̌yⁿ	dùyá	dɔyⁿɔ	dɔ̀yⁿɔ́	dɔ̀yⁿɔ́	ɛ́:rⁿɛ̀		dɔ̀yⁿɛ́	únɔ̀	dwɛ́ⁿ		ɔ́índɛ́, úndɔ́	dɔ́ɔ̀	dɔ̀ɛ́	dɔ̀yⁿɛ̀	dɔ̀dɛ̌:-ŋgó\\dɔ̀dɛ̌:	dwɛ́:	dwɛ̂:	dɔ̀:yé (dɔ̀:yé gè)	díwɔ̀	dwɛ̀:
body	torso	corps	torse	10	4	8	back	dos	00325	old		back	back (body)	dos	tùŋɔ́		ònú	tùlù-kɛ́lɛ̀	tùndú, tùndù kɛ́ndɛ̀	tùndù bìrⁿɛ́	gun,guncɛnɛ	gǔn, gùn-cɛ́nɛ́	tùr-kɛ́lɛ́	gùn kɛ́nɛ́	gùn-cɛ́nɛ́	dògò-kɛ́nɛ́	ònɔ́	dùgòlò	dògòlò	ònnú	ǹdóŋ	kúndúgó	tùnù	bàndí-ŋgé\\bàndí	kùŋgù	túndú		pùmbù	túndú
size	big	taille	gros	69	1	1	big, large	grand, gros	03456	old	basic	big	big, large	gros, grand	sɛ́w, ná:		póó \\ gáá \\ dìjɛ́	díyⁿà-w\\díyⁿà-m\\díyⁿà	díyⁿà-wⁿ\\díyⁿà-m	dùgí	gara	gàrá	démbéré	gàrá	gàrá	káŋ, márⁿá, gàrá	dùgú, dɛ̂:			póó, gáá, díɛ́	bìnú	dɛ́\\dɛ́-ŋgɛ́\\dɛ́-mbɔ́, bìné:\\bǐn-mbɔ́ (e.g. person, animal)	dìyá	gìndɔ́:\\gìndɛ́:	báy (house, tree, village), bíní (animal, person, rock)	bâyⁿ	dògò (dògò gé)	bàyⁿ, bìgì (also 'fat')	bàyⁿ
animal	bird	animal	oiseau	1	11	1	bird	oiseau	00047	old		bird	bird (any)	(tout) oiseau	sǎy		sàsáá	nì:yⁿî-m\\nì:yⁿî:	nǐ:-m\\nǐ:	lì:gí	sajiⁿ,saju	sà:j-î:ⁿ, sàjú	sà-sǎy		sàjú	sàjú	sì-sǎ:	sàjù	sàjù	sàdàá	lègèègú, nègèègú	àdé\\àdù-mbó	àɲàn\\-mù	nǐ:\\nì:-mbó	níyè	ìní		ní:bè	nèjjé
taste	bitter	goût	amer	124	3	1	bitter	amer	06276	old		bitter	bitter (in taste)	(goût) amer	gòlú			gárì-m ~ gárù-m	gàrǔm	gárî	jeru	jé:rù	gérù xxx(see 06281)	gé:rù	jé:rù	kágárá	gálàl			gálálú	gállá		gàl	gàlí-yè\\gàlú-ŋgò		kárákárá kánní		kàr-kàr-gà	kárá-kárá, gà:là
